id,food,calorie,protein,lipid,carbohydrate,fiber,sugar_content,salt
270,ささげ　全粒　ゆで　,145,10.2,0.9,23.8,10.7,13.1,0
271,そらまめ　全粒　乾　,348,26,2,55.9,9.3,46.6,0
272,そらまめ　フライビーンズ　,472,24.7,20.8,46.4,14.9,31.5,1.8
273,そらまめ　おたふく豆　,251,7.9,1.2,52.2,5.9,46.3,0.4
274,そらまめ　ふき豆　,263,9.6,1.6,52.5,4.5,48,0.8
275,そらまめ　しょうゆ豆　,196,9.8,0.9,37.1,10.1,27,1.2
276,全粒　国産　黄大豆　乾　,422,33.8,19.7,29.5,17.9,11.6,0
277,全粒　国産　黒大豆　乾　,414,33.9,18.1,30.8,16,14.8,0
278,全粒　国産　黄大豆　ゆで　,176,14.8,9.8,8.4,6.6,1.8,0
279,全粒　米国産　黄大豆　乾　,433,33,21.7,28.8,15.9,12.9,0
280,全粒　中国産　黄大豆　乾　,422,32.8,19.5,30.8,15.6,15.2,0
281,全粒　ブラジル産　黄大豆　乾　,451,33.6,22.6,30.7,17.3,13.4,0
282,いり大豆　黄大豆　,439,37.5,21.6,33.3,19.4,13.9,0
283,いり大豆　黒大豆　,442,36.4,22,34.3,19.2,15.1,0
284,いり大豆　青大豆　,435,37.7,20.7,33.9,18.4,15.5,0
285,水煮缶詰　黄大豆　,140,12.9,6.7,7.7,6.8,0.9,0.5
286,蒸し大豆　黄大豆　,205,16.6,9.8,13.8,8.8,5,0.6
287,きな粉　全粒大豆　黄大豆　,450,36.7,25.7,28.5,18.1,10.4,0
288,きな粉　全粒大豆　青大豆　,431,37,22.8,29.3,16.9,12.4,0
289,きな粉　脱皮大豆　黄大豆　,451,37.5,25.1,29.5,15.3,14.2,0
290,大豆はいが　,442,37.8,14.7,39.5,18.8,20.7,0
291,だいず［全粒・全粒製品］ぶどう豆　,289,14.1,9.4,37,6.3,30.7,1.6
292,だいず［豆腐・油揚げ類］木綿豆腐　,72,6.6,4.2,1.6,0.4,1.2,0.1
293,絹ごし豆腐　,56,4.9,3,2,0.3,1.7,0
294,ソフト豆腐　,59,5.1,3.3,2,0.4,1.6,0
295,充てん豆腐　,59,5,3.1,2.5,0.3,2.2,0
296,だいず［豆腐・油揚げ類］沖縄豆腐　,106,9.1,7.2,0.7,0.5,0.2,0.4
297,だいず［豆腐・油揚げ類］ゆし豆腐　,50,4.3,2.8,1.7,0.3,1.4,0.6
298,だいず［豆腐・油揚げ類］焼き豆腐　,88,7.8,5.7,1,0.5,0.5,0
299,だいず［豆腐・油揚げ類］生揚げ　,150,10.7,11.3,0.9,0.7,0.2,0
300,だいず［豆腐・油揚げ類］油揚げ　生　,410,23.4,34.4,0.4,1.3,0,0
301,油揚げ　油抜き　生　,288,18.2,23.4,0,0.9,0,0
302,油揚げ　油抜き　焼き　,398,24.9,32.2,0.7,1.2,0,0
303,油揚げ　油抜き　ゆで　,177,12.4,13.8,0.3,0.6,0,0
304,がんもどき　,228,15.3,17.8,1.6,1.4,0.2,0.5
305,凍り豆腐　乾　,536,50.5,34.1,4.2,2.5,1.7,1.1
306,凍り豆腐　水煮　,115,10.7,7.3,1.1,0.5,0.6,0.7
307,だいず［豆腐・油揚げ類］豆腐よう　,189,9.5,8.3,19.1,0.8,18.3,1.9
308,豆腐竹輪　蒸し　,126,14.9,4.4,6.7,0.8,5.9,1.9
